,Post code,Neighbourhood,Latitude,Longitude
0,4000,Brisbane,-27.47, 153.030
1,4000,Spring Hill,-27.47, 153.030
2,4001,Brisbane,-27.6, 152.820
3,4004,Spring Hill,-24.05, 149.320
4,4005,New Farm,-27.47, 153.050
5,4006,Bowen Hills,-27.44, 153.040
6,4006,Fortitude Valley,-27.44, 153.040
7,4006,Herston,-27.44, 153.040
8,4006,Newstead,-27.44, 153.040
9,4007,Ascot,-27.43, 153.060
10,4007,Hamilton,-27.43, 153.060
11,4008,Pinkenba,-27.42, 153.120
12,4009,Eagle Farm,-27.43, 153.090
13,4010,Albion,-27.43, 153.050
14,4011,Clayfield,-27.42, 153.060
15,4011,Hendra,-27.42, 153.060
16,4012,Nundah,-27.4, 153.060
17,4012,Wavell Heights,-27.4, 153.060
18,4013,Northgate,-27.39, 153.070
19,4014,Banyo,-27.38, 153.080
20,4014,Nudgee,-27.38, 153.080
21,4014,Nudgee Beach,-27.38, 153.080
22,4014,Virginia,-27.38, 153.080
23,4017,Bracken Ridge,-27.33, 153.030
24,4017,Brighton,-27.33, 153.030
25,4017,Deagon,-27.33, 153.030
26,4017,Sandgate,-27.33, 153.030
27,4017,Shorncliffe,-27.33, 153.030
28,4018,Fitzgibbon,-27.35, 153.030
29,4018,Taigum,-27.35, 153.030
30,4030,Lutwyche,-27.42, 153.030
31,4030,Windsor,-27.42, 153.030
32,4030,Wooloowin,-27.42, 153.030
33,4031,Gordon Park,-27.41, 153.030
34,4031,Kedron,-27.41, 153.030
35,4032,Chermside,-27.39, 153.030
36,4032,Chermside West,-27.39, 153.030
37,4034,Aspley,-27.36, 153.020
38,4034,Boondall,-27.36, 153.020
39,4034,Carseldine,-27.36, 153.020
40,4034,Geebung,-27.36, 153.020
41,4034,Zillmere,-27.36, 153.020
42,4035,Bridgeman Downs,-27.35, 152.970
43,4036,Bald Hills,-27.31, 153.010
44,4051,Alderley,-27.42, 153.000
45,4051,Enoggera,-27.42, 153.000
46,4051,Gaythorne,-27.42, 153.000
47,4051,Grange,-27.42, 153.000
48,4051,Newmarket,-27.42, 153.000
49,4051,Wilston,-27.42, 153.000
50,4053,Everton Park,-27.41, 152.980
51,4053,Mitchelton,-27.41, 152.980
52,4053,Stafford,-27.41, 152.980
53,4053,Stafford Heights,-27.41, 152.980
54,4054,Keperra,-27.4, 152.960
55,4055,Ferny Grove,-27.37, 152.940
56,4055,Upper Kedron,-27.37, 152.940
57,4059,Kelvin Grove,-27.45, 153.010
58,4059,Red Hill,-27.45, 153.010
59,4060,Ashgrove,-27.45, 152.990
60,4061,The Gap,-27.44, 152.940
61,4064,Milton,-27.47, 153.000
62,4064,Paddington,-27.47, 153.000
63,4065,Bardon,-27.46, 152.980
64,4066,Auchenflower,-27.48, 152.990
65,4066,Toowong,-27.48, 152.990
66,4067,St Lucia,-27.49, 153.010
67,4068,Chelmer,-27.51, 152.980
68,4068,Indooroopilly,-27.51, 152.980
69,4068,Taringa,-27.51, 152.980
70,4069,Brookfield,-27.49, 152.900
71,4069,Chapel Hill,-27.49, 152.900
72,4069,Fig Tree Pocket,-27.49, 152.900
73,4069,Kenmore,-27.49, 152.900
74,4069,Kenmore Hills,-27.49, 152.900
75,4069,Pinjarra Hills,-27.49, 152.900
76,4069,Pullenvale,-27.49, 152.900
77,4069,Upper Brookfield,-27.49, 152.900
78,4070,Anstead,-27.55, 152.870
79,4070,Bellbowrie,-27.55, 152.870
80,4070,Moggill,-27.55, 152.870
81,4073,Seventeen Mile Rocks,-27.55, 152.960
82,4073,Sinnamon Park,-27.55, 152.960
83,4074,Jamboree Heights,-27.56, 152.930
84,4074,Jindalee,-27.56, 152.930
85,4074,Middle Park,-27.56, 152.930
86,4074,Mount Ommaney,-27.56, 152.930
87,4074,Riverhills,-27.56, 152.930
88,4074,Sumner,-27.56, 152.930
89,4074,Westlake,-27.56, 152.930
90,4075,Corinda,-27.54, 152.980
91,4075,Graceville,-27.54, 152.980
92,4075,Oxley,-27.54, 152.980
93,4075,Sherwood,-27.54, 152.980
94,4076,Darra,-27.57, 152.950
95,4076,Wacol,-27.57, 152.950
96,4077,Doolandella,-27.61, 152.980
97,4077,Durack,-27.61, 152.980
98,4077,Inala,-27.61, 152.980
99,4077,Richlands,-27.61, 152.980
100,4078,Ellen Grove,-27.61, 152.950
101,4078,Forest Lake,-27.61, 152.950
102,4101,Highgate Hill,-27.49, 153.020
103,4101,South Brisbane,-27.49, 153.020
104,4101,West End,-27.49, 153.020
105,4102,Dutton Park,-27.5, 153.040
106,4102,Woolloongabba,-27.5, 153.040
107,4103,Annerley,-27.51, 153.030
108,4103,Fairfield,-27.51, 153.030
109,4104,Yeronga,-27.52, 153.020
110,4105,Moorooka,-27.53, 153.030
111,4105,Tennyson,-27.53, 153.030
112,4105,Yeerongpilly,-27.53, 153.030
113,4106,Rocklea,-27.53, 153.000
114,4107,Salisbury,-27.54, 153.030
115,4108,Archerfield,-27.57, 153.020
116,4108,Coopers Plains,-27.57, 153.020
117,4109,Robertson,-27.57, 153.080
118,4109,Sunnybank,-27.57, 153.080
119,4109,Sunnybank Hills,-27.57, 153.080
120,4110,Acacia Ridge,-27.59, 153.030
121,4110,Heathwood,-27.59, 153.030
122,4110,Larapinta,-27.59, 153.030
123,4110,Pallara,-27.59, 153.030
124,4110,Willawong,-27.59, 153.030
125,4111,Nathan,-27.55, 153.060
126,4112,Kuraby,-27.61, 153.090
127,4113,Eight Mile Plains,-27.58, 153.090
128,4113,Runcorn,-27.58, 153.090
129,4115,Algester,-27.61, 153.030
130,4115,Parkinson,-27.61, 153.030
131,4116,Calamvale,-27.62, 153.050
132,4116,Drewvale,-27.62, 153.050
133,4116,Stretton,-27.62, 153.050
134,4117,Karawatha,-27.64, 153.080
135,4120,Greenslopes,-27.51, 153.050
136,4120,Stones Corner,-27.51, 153.050
137,4121,Holland Park,-27.52, 153.060
138,4121,Holland Park West,-27.52, 153.060
139,4121,Tarragindi,-27.52, 153.060
140,4122,Mansfield,-27.54, 153.100
141,4122,Mount Gravatt,-27.54, 153.100
142,4122,Mount Gravatt East,-27.54, 153.100
143,4122,Upper Mount Gravatt,-27.54, 153.100
144,4122,Wishart,-27.54, 153.100
145,4123,Rochedale,-27.57, 153.130
146,4151,Coorparoo,-27.5, 153.060
147,4152,Camp Hill,-27.49, 153.080
148,4152,Carina,-27.49, 153.080
149,4152,Carindale,-27.49, 153.080
150,4153,Belmont,-27.5, 153.130
151,4154,Gumdale,-27.49, 153.150
152,4154,Ransome,-27.49, 153.150
153,4154,Wakerley,-27.49, 153.150
154,4155,Chandler,-19.26, 146.780
155,4156,Burbank,-27.56, 153.160
156,4156,Mackenzie,-27.56, 153.160
157,4169,East Brisbane,-27.48, 153.050
158,4169,Kangaroo Point,-27.48, 153.050
159,4170,Cannon Hill,-27.47, 153.100
160,4170,Morningside,-27.47, 153.100
161,4170,Norman Park,-27.47, 153.100
162,4170,Seven Hills,-27.47, 153.100
163,4171,Balmoral,-27.46, 153.070
164,4171,Bulimba,-27.46, 153.070
165,4171,Hawthorne,-27.46, 153.070
166,4172,Murarrie,-27.46, 153.110
167,4173,Tingalpa,-27.47, 153.130
168,4174,Hemmant,-27.45, 153.130
169,4178,Lytton,-27.42, 153.160
170,4178,Wynnum,-27.42, 153.160
171,4178,Wynnum West,-27.42, 153.160
172,4179,Lota,-27.47, 153.180
173,4179,Manly,-27.47, 153.180
174,4179,Manly West,-27.47, 153.180
